Provincia,Cantón,Distrito,Densidad poblacional,Población total
Limón,Pococí,Cariari,188.1908173,37832
Limón,Pococí,Colorado,5.420537098,5141
Limón,Pococí,La Colonia,279.7628255,10852
Limón,Siquirres,Siquirres,160.9250312,29644
Limón,Siquirres,Pacuarito,45.72766112,10061
Limón,Siquirres,Florida,29.07359941,2382
Limón,Siquirres,Germania,100.1177856,3400
Limón,Siquirres,El Cairo,64.75317876,6926
Limón,Siquirres,Alegría,186.6491459,7102
Limón,Siquirres,Reventazón,22.36724383,4250
Limón,Talamanca,Bratsi,63.45590268,11476
Limón,Talamanca,Sixaola,82.60457961,13961
Limón,Talamanca,Cahuita,57.5169821,13463
Limón,Talamanca,Telire,4.531087262,10006
Limón,Matina,Matina,31.63181107,11117
Limón,Matina,Batán,99.43301626,21220
Limón,Matina,Carrandi,63.20910772,12992
Limón,Guácimo,Guácimo,97.79257339,21885
Limón,Guácimo,Mercedes,20.27537197,1826
Limón,Guácimo,Pocora,106.8194292,7785
Limón,Guácimo,Río Jiménez,31.11084475,10382
Limón,Guácimo,Duacarí,95.26627219,7728
