par,modelo,peso_modelo,distancia_km,tiempo_determinista_min,costo_objetivo,costo_astar,costo_dijkstra,diferencia_abs,coincide,NE_astar,NE_dijkstra,ejecucion_astar_ms,ejecucion_dijkstra_ms,ruta_cambio,difiere_referencia,media_simulada_min,desviacion_simulada_min,percentil_90_min,IC_pct,lambda_riesgo,muestra
Validación 10,Ajustada por variabilidad,risk_adjusted_time_min,9.265099540577529,9.27966845839688,17.864577706296522,17.86457770629652,17.864577706296522,3.552713678800501e-15,True,5229,3714,80.48569998936728,17.8994000016246,False,False,9.288728734458923,1.4066566697877836,10.993572095360157,85.39999999999999,6.5,Adicional
Validación 11,Ajustada por variabilidad,risk_adjusted_time_min,3.6552493381991633,5.021263854930554,11.03257161124813,11.032571611248127,11.03257161124813,3.552713678800501e-15,True,1770,2025,21.06219998677261,9.626399987610057,False,False,5.035600630155796,0.7791474539488121,6.05531498303522,83.39999999999999,6.5,Adicional
Validación 12,Ajustada por variabilidad,risk_adjusted_time_min,5.7261669650153895,5.452613688678282,10.665601760277458,10.665601760277458,10.665601760277458,0.0,True,1833,1603,22.695699997711927,8.66449999739416,False,False,5.469363628200034,0.8796492478500904,6.580601123564678,84.0,6.5,Adicional
Validación 13,Ajustada por variabilidad,risk_adjusted_time_min,10.088814415776605,10.861183342603852,22.076388895806236,22.07638889580623,22.076388895806236,7.105427357601002e-15,True,5871,5446,97.73919999133795,29.45879998151213,True,True,10.833247084673497,1.7445169069060242,13.118373013406352,83.5,6.5,Adicional
Validación 14,Ajustada por variabilidad,risk_adjusted_time_min,4.322681074358053,4.439999121343787,8.922962356801403,8.922962356801401,8.922962356801403,1.7763568394002505e-15,True,1223,1294,16.237200004979968,6.792600004700944,False,False,4.429758027173324,0.6736829228044067,5.339966597413976,84.8,6.5,Adicional
Validación 15,Ajustada por variabilidad,risk_adjusted_time_min,3.3997067150253137,5.13791668796512,11.947979651858907,11.947979651858907,11.947979651858907,0.0,True,2877,3174,40.971500013256446,16.440700012026355,False,False,5.1346829798015605,0.7837210388686389,6.223777085129617,83.0,6.5,Adicional
Validación 16,Ajustada por variabilidad,risk_adjusted_time_min,1.373227222604148,1.8161611823822172,4.023743240158602,4.023743240158602,4.023743240158602,0.0,True,326,408,7.757399987895042,1.9227000011596829,False,False,1.809685460510463,0.28628637303396526,2.201380460999859,82.8,6.5,Adicional
Validación 17,Ajustada por variabilidad,risk_adjusted_time_min,9.016255321160033,10.254072506094131,20.49569802964994,20.49569802964994,20.49569802964994,0.0,True,5457,5607,75.96299998112954,34.31129999808036,True,True,10.238297234149563,1.4748599676933376,12.146298252279816,84.39999999999999,6.5,Adicional
Validación 18,Ajustada por variabilidad,risk_adjusted_time_min,3.2058421475090175,4.61273994217188,10.139360468136385,10.139360468136385,10.139360468136385,0.0,True,435,555,8.763900026679039,2.414099988527596,False,False,4.645751222054085,0.7559191298022494,5.645379524522936,83.7,6.5,Adicional
Validación 19,Ajustada por variabilidad,risk_adjusted_time_min,1.4546541714722272,2.3670934841812192,5.261412130705793,5.261412130705791,5.261412130705793,1.7763568394002505e-15,True,281,229,7.863300008466467,1.0821000032592565,False,False,2.3658639303666122,0.367316163751475,2.866471662759539,83.2,6.5,Adicional
Validación 20,Ajustada por variabilidad,risk_adjusted_time_min,8.746213756328412,8.412470080462132,15.868495183754638,15.868495183754636,15.868495183754638,1.7763568394002505e-15,True,3526,3374,46.01109999930486,21.354700002120808,False,False,8.501201935241552,1.3531989718470712,10.38450674989325,81.89999999999999,6.5,Adicional
Validación 21,Ajustada por variabilidad,risk_adjusted_time_min,7.016342998034069,7.905899958875167,15.824900599753779,15.824900599753775,15.824900599753779,3.552713678800501e-15,True,3477,4241,46.8657000164967,21.602699998766184,True,True,7.910183457873101,1.2412259342880492,9.627742709211006,83.3,6.5,Adicional
Validación 22,Ajustada por variabilidad,risk_adjusted_time_min,2.7185093562956095,3.7020747782034165,7.686600465703627,7.686600465703627,7.686600465703627,0.0,True,455,148,8.129900001222268,0.5382999952416867,False,False,3.7239198483092424,0.585075925799006,4.475624503841915,83.89999999999999,6.5,Adicional
Validación 23,Ajustada por variabilidad,risk_adjusted_time_min,5.813116769452487,6.258636508669873,12.21175603556824,12.211756035568236,12.21175603556824,3.552713678800501e-15,True,2285,2633,28.52230001008138,12.633000005735084,True,True,6.271919995327504,0.9724512864977443,7.606614047773914,82.8,6.5,Adicional
Validación 24,Ajustada por variabilidad,risk_adjusted_time_min,2.1201106881015126,3.1338609486140125,6.917237726942031,6.91723772694203,6.917237726942031,8.881784197001252e-16,True,538,774,9.43929998902604,3.4522000059951097,True,True,3.1158644182590716,0.47708119205922106,3.726581052754689,83.8,6.5,Adicional
Validación 25,Ajustada por variabilidad,risk_adjusted_time_min,3.795723504402595,4.877610466027746,10.962029179480181,10.962029179480181,10.962029179480181,0.0,True,1208,1679,16.2203999934718,7.489000010536984,False,False,4.885047559923111,0.758433919345938,5.869234875804981,83.6,6.5,Adicional
Validación 26,Ajustada por variabilidad,risk_adjusted_time_min,6.029302907483788,6.560680316426439,13.385404484098917,13.385404484098915,13.385404484098917,1.7763568394002505e-15,True,1766,1686,23.011200013570487,8.173499983968213,False,False,6.596784912301347,1.0230568328363614,7.897728171809216,83.39999999999999,6.5,Adicional
Validación 27,Ajustada por variabilidad,risk_adjusted_time_min,7.697803377889615,9.53939637380854,20.24743642484119,20.247436424841183,20.24743642484119,7.105427357601002e-15,True,3505,4373,45.82870000740513,20.74549999088049,True,True,9.525401769573905,1.4231134488529287,11.38186773963379,84.5,6.5,Adicional
Validación 28,Ajustada por variabilidad,risk_adjusted_time_min,1.4803020571139573,2.4313471850400346,5.612576011536158,5.612576011536158,5.612576011536158,0.0,True,526,484,9.033999987877905,2.1764000121038407,False,False,2.4169302197463045,0.3914919542501045,2.9271582742129754,82.89999999999999,6.5,Adicional
Validación 29,Ajustada por variabilidad,risk_adjusted_time_min,6.838694779793145,7.788835312510056,15.860035974919592,15.860035974919588,15.860035974919592,3.552713678800501e-15,True,2831,3075,40.72970000561327,14.506900013657287,True,True,7.796750889739085,1.175179742134496,9.378361329485692,84.3,6.5,Adicional
Validación 30,Ajustada por variabilidad,risk_adjusted_time_min,7.044367668015863,7.643658164177544,15.452027776187856,15.452027776187856,15.452027776187856,0.0,True,4195,4007,47.244600020349026,19.721099990420043,False,False,7.665197288143836,1.1925454137083824,9.26706321265082,84.1,6.5,Adicional
