par,tipo_ruta,tiempo_min
Estadio Oeste → San Pedro,Ruta optimizada,8.909263033437773
Estadio Oeste → San Pedro,Ruta optimizada,10.263355077984995
Estadio Oeste → San Pedro,Ruta optimizada,9.498602279675897
Estadio Oeste → San Pedro,Ruta optimizada,13.945893193106706
Estadio Oeste → San Pedro,Ruta optimizada,13.070869268538926
Estadio Oeste → San Pedro,Ruta optimizada,10.502294252843386
Estadio Oeste → San Pedro,Ruta optimizada,8.998683849831943
Estadio Oeste → San Pedro,Ruta optimizada,8.450860628282442
Estadio Oeste → San Pedro,Ruta optimizada,11.844745235640058
Estadio Oeste → San Pedro,Ruta optimizada,9.96772224362258
Estadio Oeste → San Pedro,Ruta optimizada,10.494507841127511
Estadio Oeste → San Pedro,Ruta optimizada,7.419518194867412
Estadio Oeste → San Pedro,Ruta optimizada,10.474940191118462
Estadio Oeste → San Pedro,Ruta optimizada,10.461024519696927
Estadio Oeste → San Pedro,Ruta optimizada,8.215511130393224
Estadio Oeste → San Pedro,Ruta optimizada,9.431263024099524
Estadio Oeste → San Pedro,Ruta optimizada,10.35393085711858
Estadio Oeste → San Pedro,Ruta optimizada,10.157791515073837
Estadio Oeste → San Pedro,Ruta optimizada,9.217754170439383
Estadio Oeste → San Pedro,Ruta optimizada,10.067368414268309
Estadio Oeste → San Pedro,Ruta optimizada,9.570226170469914
Estadio Oeste → San Pedro,Ruta optimizada,9.70472866243983
Estadio Oeste → San Pedro,Ruta optimizada,11.822353905083812
Estadio Oeste → San Pedro,Ruta optimizada,6.787011772669473
Estadio Oeste → San Pedro,Ruta optimizada,9.325960817937993
Estadio Oeste → San Pedro,Ruta optimizada,10.175974690166042
Estadio Oeste → San Pedro,Ruta optimizada,9.749420618584779
Estadio Oeste → San Pedro,Ruta optimizada,9.285008896756032
Estadio Oeste → San Pedro,Ruta optimizada,7.680603917076416
Estadio Oeste → San Pedro,Ruta optimizada,10.96076462265357
Estadio Oeste → San Pedro,Ruta optimizada,12.626296631565179
Estadio Oeste → San Pedro,Ruta optimizada,8.334660915636013
Estadio Oeste → San Pedro,Ruta optimizada,11.038427197350057
Estadio Oeste → San Pedro,Ruta optimizada,8.980411028198626
Estadio Oeste → San Pedro,Ruta optimizada,9.098393405835507
Estadio Oeste → San Pedro,Ruta optimizada,8.200608829620009
Estadio Oeste → San Pedro,Ruta optimizada,9.454874387006907
Estadio Oeste → San Pedro,Ruta optimizada,12.219587078251074
Estadio Oeste → San Pedro,Ruta optimizada,10.840023533887292
Estadio Oeste → San Pedro,Ruta optimizada,12.57677346829366
Estadio Oeste → San Pedro,Ruta optimizada,11.344042208293414
Estadio Oeste → San Pedro,Ruta optimizada,10.831118306970772
Estadio Oeste → San Pedro,Ruta optimizada,12.552952317379853
Estadio Oeste → San Pedro,Ruta optimizada,10.72865892422856
Estadio Oeste → San Pedro,Ruta optimizada,11.50970905168092
Estadio Oeste → San Pedro,Ruta optimizada,9.78177695065963
Estadio Oeste → San Pedro,Ruta optimizada,9.498502466711296
Estadio Oeste → San Pedro,Ruta optimizada,9.06989299841765
Estadio Oeste → San Pedro,Ruta optimizada,10.941728613387188
Estadio Oeste → San Pedro,Ruta optimizada,8.601037115843784
Estadio Oeste → San Pedro,Ruta optimizada,10.907813019377084
Estadio Oeste → San Pedro,Ruta optimizada,9.683456933512673
Estadio Oeste → San Pedro,Ruta optimizada,11.982161493195377
Estadio Oeste → San Pedro,Ruta optimizada,10.821439551821438
Estadio Oeste → San Pedro,Ruta optimizada,13.179158262441103
Estadio Oeste → San Pedro,Ruta optimizada,11.587500673652757
Estadio Oeste → San Pedro,Ruta optimizada,7.773189945469436
Estadio Oeste → San Pedro,Ruta optimizada,9.312687297078467
Estadio Oeste → San Pedro,Ruta optimizada,8.330156823418829
Estadio Oeste → San Pedro,Ruta optimizada,8.81208473551326
Estadio Oeste → San Pedro,Ruta optimizada,13.477312249514016
Estadio Oeste → San Pedro,Ruta optimizada,11.175448558303469
Estadio Oeste → San Pedro,Ruta optimizada,9.026690136410355
Estadio Oeste → San Pedro,Ruta optimizada,8.850231207167276
Estadio Oeste → San Pedro,Ruta optimizada,10.432777651918132
Estadio Oeste → San Pedro,Ruta optimizada,8.302810899308655
Estadio Oeste → San Pedro,Ruta optimizada,9.126843967361104
Estadio Oeste → San Pedro,Ruta optimizada,11.352674153488218
Estadio Oeste → San Pedro,Ruta optimizada,11.104135579568755
Estadio Oeste → San Pedro,Ruta optimizada,10.838530136304444
Estadio Oeste → San Pedro,Ruta optimizada,6.7365027624435125
Estadio Oeste → San Pedro,Ruta optimizada,10.031189199734781
Estadio Oeste → San Pedro,Ruta optimizada,9.930734038270908
Estadio Oeste → San Pedro,Ruta optimizada,10.396638812818825
Estadio Oeste → San Pedro,Ruta optimizada,11.94217412479175
Estadio Oeste → San Pedro,Ruta optimizada,7.087394769486235
Estadio Oeste → San Pedro,Ruta optimizada,8.794522105360882
Estadio Oeste → San Pedro,Ruta optimizada,11.132351681966558
Estadio Oeste → San Pedro,Ruta optimizada,8.028958035129474
Estadio Oeste → San Pedro,Ruta optimizada,12.626048560551691
Estadio Oeste → San Pedro,Ruta optimizada,10.045803579956203
Estadio Oeste → San Pedro,Ruta optimizada,10.9685580891721
Estadio Oeste → San Pedro,Ruta optimizada,9.275535856899198
Estadio Oeste → San Pedro,Ruta optimizada,11.18455669908652
Estadio Oeste → San Pedro,Ruta optimizada,11.295828745987128
Estadio Oeste → San Pedro,Ruta optimizada,10.60653377785652
Estadio Oeste → San Pedro,Ruta optimizada,10.427760343114597
Estadio Oeste → San Pedro,Ruta optimizada,10.259328370870724
Estadio Oeste → San Pedro,Ruta optimizada,8.650763432828235
Estadio Oeste → San Pedro,Ruta optimizada,9.96606775308527
Estadio Oeste → San Pedro,Ruta optimizada,10.145786498228128
Estadio Oeste → San Pedro,Ruta optimizada,10.479401700600244
Estadio Oeste → San Pedro,Ruta optimizada,11.543351593119842
Estadio Oeste → San Pedro,Ruta optimizada,8.573386641595805
Estadio Oeste → San Pedro,Ruta optimizada,9.73181448947581
Estadio Oeste → San Pedro,Ruta optimizada,11.810049005516136
Estadio Oeste → San Pedro,Ruta optimizada,8.649783135954333
Estadio Oeste → San Pedro,Ruta optimizada,8.996826094871986
Estadio Oeste → San Pedro,Ruta optimizada,10.39767881195387
Estadio Oeste → San Pedro,Ruta optimizada,11.409992391555443
Estadio Oeste → San Pedro,Ruta optimizada,9.727006592561722
Estadio Oeste → San Pedro,Ruta optimizada,12.305601690045778
Estadio Oeste → San Pedro,Ruta optimizada,11.385841620647971
Estadio Oeste → San Pedro,Ruta optimizada,10.903510868158193
Estadio Oeste → San Pedro,Ruta optimizada,11.140630104569457
Estadio Oeste → San Pedro,Ruta optimizada,14.045174932416476
Estadio Oeste → San Pedro,Ruta optimizada,9.446738075901763
Estadio Oeste → San Pedro,Ruta optimizada,7.277183517424754
Estadio Oeste → San Pedro,Ruta optimizada,12.904068413984197
Estadio Oeste → San Pedro,Ruta optimizada,9.273857351443517
Estadio Oeste → San Pedro,Ruta optimizada,10.373691790105028
Estadio Oeste → San Pedro,Ruta optimizada,11.443257892698249
Estadio Oeste → San Pedro,Ruta optimizada,7.5787975144283894
Estadio Oeste → San Pedro,Ruta optimizada,8.080887584888178
Estadio Oeste → San Pedro,Ruta optimizada,7.947003533404599
Estadio Oeste → San Pedro,Ruta optimizada,8.824638059547029
Estadio Oeste → San Pedro,Ruta optimizada,10.944615653018293
Estadio Oeste → San Pedro,Ruta optimizada,10.734713140758254
Estadio Oeste → San Pedro,Ruta optimizada,10.35057177118431
Estadio Oeste → San Pedro,Ruta optimizada,8.270869419978773
Estadio Oeste → San Pedro,Ruta optimizada,6.774567072208274
Estadio Oeste → San Pedro,Ruta optimizada,9.878551879325299
Estadio Oeste → San Pedro,Ruta optimizada,9.011400903535904
Estadio Oeste → San Pedro,Ruta optimizada,10.872401499386719
Estadio Oeste → San Pedro,Ruta optimizada,11.132508852751378
Estadio Oeste → San Pedro,Ruta optimizada,9.59152221771556
Estadio Oeste → San Pedro,Ruta optimizada,10.892210190125091
Estadio Oeste → San Pedro,Ruta optimizada,10.245649774730875
Estadio Oeste → San Pedro,Ruta optimizada,9.879887111741265
Estadio Oeste → San Pedro,Ruta optimizada,9.050939916071584
Estadio Oeste → San Pedro,Ruta optimizada,9.74911506434498
Estadio Oeste → San Pedro,Ruta optimizada,10.417968136605806
Estadio Oeste → San Pedro,Ruta optimizada,10.512113854769781
Estadio Oeste → San Pedro,Ruta optimizada,9.25717237154928
Estadio Oeste → San Pedro,Ruta optimizada,10.604433301453954
Estadio Oeste → San Pedro,Ruta optimizada,9.329581704395354
Estadio Oeste → San Pedro,Ruta optimizada,9.897344308271384
Estadio Oeste → San Pedro,Ruta optimizada,11.178879815297535
Estadio Oeste → San Pedro,Ruta optimizada,7.346065585580858
Estadio Oeste → San Pedro,Ruta optimizada,7.86296883220884
Estadio Oeste → San Pedro,Ruta optimizada,8.48289385451265
Estadio Oeste → San Pedro,Ruta optimizada,6.980082701153575
Estadio Oeste → San Pedro,Ruta optimizada,8.431681493999156
Estadio Oeste → San Pedro,Ruta optimizada,11.162732502995112
Estadio Oeste → San Pedro,Ruta optimizada,9.304141923122348
Estadio Oeste → San Pedro,Ruta optimizada,9.683475240141652
Estadio Oeste → San Pedro,Ruta optimizada,11.844714762965012
Estadio Oeste → San Pedro,Ruta optimizada,11.582985368167574
Estadio Oeste → San Pedro,Ruta optimizada,9.891544583825443
Estadio Oeste → San Pedro,Ruta optimizada,11.742850761147215
Estadio Oeste → San Pedro,Ruta optimizada,10.192240718142298
Estadio Oeste → San Pedro,Ruta optimizada,8.71885391912759
Estadio Oeste → San Pedro,Ruta optimizada,8.874845226300845
Estadio Oeste → San Pedro,Ruta optimizada,7.998713887650478
Estadio Oeste → San Pedro,Ruta optimizada,8.36339806985794
Estadio Oeste → San Pedro,Ruta optimizada,8.966432253386806
Estadio Oeste → San Pedro,Ruta optimizada,10.498877533656563
Estadio Oeste → San Pedro,Ruta optimizada,12.232808318304565
Estadio Oeste → San Pedro,Ruta optimizada,8.119431618605212
Estadio Oeste → San Pedro,Ruta optimizada,10.453508530120772
Estadio Oeste → San Pedro,Ruta optimizada,8.382815277403054
Estadio Oeste → San Pedro,Ruta optimizada,10.81100476550282
Estadio Oeste → San Pedro,Ruta optimizada,10.056563367827366
Estadio Oeste → San Pedro,Ruta optimizada,7.7769839676558945
Estadio Oeste → San Pedro,Ruta optimizada,10.997982680723966
